name	date
A/swine/Indiana/A0109091/2010|A_/_H3N2|unassigned|2010-11-18|HA|4|EPI_ISL_90122	2010-11-18
A/swine/Indiana/9622/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142716	2011-06-01
A/swine/Ohio/11TOSU559/2011|A_/_H3N2|unassigned|2011-10-28|HA|4|EPI_ISL_245790	2011-10-28
A/swine/North_Carolina/A01203272/2012|A_/_H3N2|unassigned|2012-02-13|HA|4|EPI_ISL_127896	2012-02-13
A/swine/North_Carolina/A01270394/2012|A_/_H3N2|unassigned|2012-05-31|HA|4|EPI_ISL_129915	2012-05-31
A/swine/NY/A01104005/2011|A_/_H3N2|unassigned|2011-09-13|HA|4|EPI_ISL_99174	2011-09-13
A/swine/Ohio/A01203186/2012|A_/_H3N2|unassigned|2012-01-24|HA|4|EPI_ISL_124294	2012-01-24
A/swine/Illinois/A00857304b/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117563	2012-01-05
A/swine/Illinois/A00857304a/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117562	2012-01-05
A/swine/Iowa/A01202640/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_102523	2011-09-30
A/swine/Iowa/A01202530/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124247	2011-08-22
A/swine/Iowa/A01202529/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124313	2011-08-22
A/swine/Iowa/A01202573/2011|A_/_H3N2|unassigned|2011-09-07|HA|4|EPI_ISL_124314	2011-09-07
A/swine/Illinois/A00857131/2011|A_/_H3N2||2011-09-24|HA|4|EPI_ISL_121898.1	2011-09-24
A/swine/Iowa/A01202659/2011|A_/_H3N2|unassigned|2011-10-06|HA|4|EPI_ISL_102531	2011-10-06
A/swine/Iowa/A01202878/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_127868	2011-11-17
A/swine/Iowa/A01202879/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_124319	2011-11-17
A/swine/Iowa/A01202639/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_124312	2011-09-30
A/swine/Texas/A01104013/2012|A_/_H3N2|unassigned|2012-02-15|HA|4|EPI_ISL_124250	2012-02-15
A/swine/Illinois/A01202978/2011|A_/_H3N2|unassigned|2011-12-16|HA|4|EPI_ISL_127583	2011-12-16
A/swine/Illinois/A01240891/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_130024	2012-01-05
A/swine/Illinois/A01240835/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130031	2012-01-03
A/swine/Illinois/A01240836/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130098	2012-01-03
A/swine/Illinois/A01241469/2012|A_/_H3N2|unassigned|2012-02-08|HA|4|EPI_ISL_124295	2012-02-08
A/swine/Illinois/A01241842/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_124323	2012-02-27
A/swine/Indiana/A01327215/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130025	2012-02-06
A/swine/Indiana/A01327213/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130050	2012-02-06
A/swine/Illinois/A01241840/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_130094	2012-02-27
A/swine/North_Carolina/A01049436/2011|A_/_H3N2|unassigned|2011-01-19|HA|4|EPI_ISL_93364	2011-01-19
A/swine/Illinois/A00857318a/2012|A_/_H3N2|unassigned|2012-02-23|HA|4|EPI_ISL_127928	2012-02-23
A/swine/Indiana/A01049744/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97119	2011-03-23
A/swine/Indiana/A01049745/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97118	2011-03-23
A/swine/Indiana/A00968321/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102546	2010-10-18
A/swine/Illinois/A01076719/2010|A_/_H3N2|unassigned|2010-11-01|HA|4|EPI_ISL_103957	2010-11-01
A/swine/Indiana/A00968322/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102557	2010-10-18
A/swine/Ohio/10SW128/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133837	2010-08-12
A/swine/Ohio/10SW156/2010|A_/_H3N2|unassigned|2010-08-19|HA|4|EPI_ISL_133846	2010-08-19
A/swine/Ohio/10SW137/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133844	2010-08-12
A/swine/Ohio/10SW218/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133861	2010-08-24
A/swine/Ohio/10SW215/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142725	2010-06-01
A/swine/Ohio/10SW135/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133842	2010-08-12
A/swine/Ohio/10SW134/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133841	2010-08-12
A/swine/Ohio/10SW130/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142726	2010-06-01
A/swine/Ohio/10SW126/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133835	2010-08-12
A/swine/Minnesota/A01134337/2010|A_/_H3N2|unassigned|2010-11-17|HA|4|EPI_ISL_116233	2010-11-17
A/swine/Indiana/A01049653/2011|A_/_H3N2|unassigned|2011-03-08|HA|4|EPI_ISL_97080	2011-03-08
