name	state
A/swine/Indiana/A0109091/2010|A_/_H3N2|unassigned|2010-11-18|HA|4|EPI_ISL_90122	Indiana
A/swine/Indiana/9622/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142716	Indiana
A/swine/Ohio/11TOSU559/2011|A_/_H3N2|unassigned|2011-10-28|HA|4|EPI_ISL_245790	Ohio
A/swine/North_Carolina/A01203272/2012|A_/_H3N2|unassigned|2012-02-13|HA|4|EPI_ISL_127896	North_Carolina
A/swine/North_Carolina/A01270394/2012|A_/_H3N2|unassigned|2012-05-31|HA|4|EPI_ISL_129915	North_Carolina
A/swine/NY/A01104005/2011|A_/_H3N2|unassigned|2011-09-13|HA|4|EPI_ISL_99174	NY
A/swine/Ohio/A01203186/2012|A_/_H3N2|unassigned|2012-01-24|HA|4|EPI_ISL_124294	Ohio
A/swine/Illinois/A00857304b/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117563	Illinois
A/swine/Illinois/A00857304a/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117562	Illinois
A/swine/Iowa/A01202640/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_102523	Iowa
A/swine/Iowa/A01202530/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124247	Iowa
A/swine/Iowa/A01202529/2011|A_/_H3N2|unassigned|2011-08-22|HA|4|EPI_ISL_124313	Iowa
A/swine/Iowa/A01202573/2011|A_/_H3N2|unassigned|2011-09-07|HA|4|EPI_ISL_124314	Iowa
A/swine/Illinois/A00857131/2011|A_/_H3N2||2011-09-24|HA|4|EPI_ISL_121898.1	Illinois
A/swine/Iowa/A01202659/2011|A_/_H3N2|unassigned|2011-10-06|HA|4|EPI_ISL_102531	Iowa
A/swine/Iowa/A01202878/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_127868	Iowa
A/swine/Iowa/A01202879/2011|A_/_H3N2|unassigned|2011-11-17|HA|4|EPI_ISL_124319	Iowa
A/swine/Iowa/A01202639/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_124312	Iowa
A/swine/Texas/A01104013/2012|A_/_H3N2|unassigned|2012-02-15|HA|4|EPI_ISL_124250	Texas
A/swine/Illinois/A01202978/2011|A_/_H3N2|unassigned|2011-12-16|HA|4|EPI_ISL_127583	Illinois
A/swine/Illinois/A01240891/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_130024	Illinois
A/swine/Illinois/A01240835/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130031	Illinois
A/swine/Illinois/A01240836/2012|A_/_H3N2|unassigned|2012-01-03|HA|4|EPI_ISL_130098	Illinois
A/swine/Illinois/A01241469/2012|A_/_H3N2|unassigned|2012-02-08|HA|4|EPI_ISL_124295	Illinois
A/swine/Illinois/A01241842/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_124323	Illinois
A/swine/Indiana/A01327215/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130025	Indiana
A/swine/Indiana/A01327213/2012|A_/_H3N2|unassigned|2012-02-06|HA|4|EPI_ISL_130050	Indiana
A/swine/Illinois/A01241840/2012|A_/_H3N2|unassigned|2012-02-27|HA|4|EPI_ISL_130094	Illinois
A/swine/North_Carolina/A01049436/2011|A_/_H3N2|unassigned|2011-01-19|HA|4|EPI_ISL_93364	North_Carolina
A/swine/Illinois/A00857318a/2012|A_/_H3N2|unassigned|2012-02-23|HA|4|EPI_ISL_127928	Illinois
A/swine/Indiana/A01049744/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97119	Indiana
A/swine/Indiana/A01049745/2011|A_/_H3N2|unassigned|2011-03-23|HA|4|EPI_ISL_97118	Indiana
A/swine/Indiana/A00968321/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102546	Indiana
A/swine/Illinois/A01076719/2010|A_/_H3N2|unassigned|2010-11-01|HA|4|EPI_ISL_103957	Illinois
A/swine/Indiana/A00968322/2010|A_/_H3N2|unassigned|2010-10-18|HA|4|EPI_ISL_102557	Indiana
A/swine/Ohio/10SW128/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133837	Ohio
A/swine/Ohio/10SW156/2010|A_/_H3N2|unassigned|2010-08-19|HA|4|EPI_ISL_133846	Ohio
A/swine/Ohio/10SW137/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133844	Ohio
A/swine/Ohio/10SW218/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133861	Ohio
A/swine/Ohio/10SW215/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142725	Ohio
A/swine/Ohio/10SW135/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133842	Ohio
A/swine/Ohio/10SW134/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133841	Ohio
A/swine/Ohio/10SW130/2010|A_/_H3N2|unassigned|2010-06-01|HA|4|EPI_ISL_142726	Ohio
A/swine/Ohio/10SW126/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133835	Ohio
A/swine/Minnesota/A01134337/2010|A_/_H3N2|unassigned|2010-11-17|HA|4|EPI_ISL_116233	Minnesota
A/swine/Indiana/A01049653/2011|A_/_H3N2|unassigned|2011-03-08|HA|4|EPI_ISL_97080	Indiana
A/swine/Minnesota/A01076999/2010|A_/_H3N2|unassigned|2010-09-22|HA|4|EPI_ISL_116395	Minnesota
A/swine/Ohio/10SW125/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133834	Ohio
A/swine/Ohio/10SW121/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133832	Ohio
A/swine/Ohio/10SW131/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133838	Ohio
A/swine/Ohio/10SW132/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133839	Ohio
A/swine/Ohio/10SW136/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133843	Ohio
A/swine/Ohio/10SW202/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133847	Ohio
A/swine/Ohio/10SW139/2010|A_/_H3N2|unassigned|2010-08-12|HA|4|EPI_ISL_133845	Ohio
A/swine/Ohio/10SW205/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133850	Ohio
A/swine/Ohio/10SW206/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133851	Ohio
A/swine/Ohio/10SW203/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133848	Ohio
A/swine/Ohio/10SW209/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133854	Ohio
A/swine/Ohio/10SW210/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133855	Ohio
A/swine/Ohio/10SW207/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133852	Ohio
A/swine/Ohio/10SW208/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133853	Ohio
A/swine/Ohio/10SW213/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133858	Ohio
A/swine/Ohio/10SW214/2010|A_/_H3N2|unassigned|2010-08-24|HA|4|EPI_ISL_133859	Ohio
