"sequence_name","clade","name_cleaned","location","date"
"A/swine/Indiana/A0109091/2010|A_/_H3N2|unassigned|2010-11-18|HA|4|EPI_ISL_90122","1990.4.a","A/swine/Indiana/A0109091/2010|A_/_H3N2|1990.4.a|2010-11-18|HA|4|EPI_ISL_90122","Indiana","2010-11-18"
"A/swine/Indiana/9622/2011|A_/_H3N2|unassigned|2011-06-01|HA|4|EPI_ISL_142716","1990.4.a","A/swine/Indiana/9622/2011|A_/_H3N2|1990.4.a|2011-06-01|HA|4|EPI_ISL_142716","Indiana","2011-06-01"
"A/swine/Ohio/11TOSU559/2011|A_/_H3N2|unassigned|2011-10-28|HA|4|EPI_ISL_245790","1990.4.a","A/swine/Ohio/11TOSU559/2011|A_/_H3N2|1990.4.a|2011-10-28|HA|4|EPI_ISL_245790","Ohio","2011-10-28"
"A/swine/North_Carolina/A01203272/2012|A_/_H3N2|unassigned|2012-02-13|HA|4|EPI_ISL_127896","unassigned","A/swine/North Carolina/A01203272/2012|A_/_H3N2|unassigned|2012-02-13|HA|4|EPI_ISL_127896","North Carolina","2012-02-13"
"A/swine/North_Carolina/A01270394/2012|A_/_H3N2|unassigned|2012-05-31|HA|4|EPI_ISL_129915","unassigned","A/swine/North Carolina/A01270394/2012|A_/_H3N2|unassigned|2012-05-31|HA|4|EPI_ISL_129915","North Carolina","2012-05-31"
"A/swine/NY/A01104005/2011|A_/_H3N2|unassigned|2011-09-13|HA|4|EPI_ISL_99174","1990.4.a","A/swine/New York/A01104005/2011|A_/_H3N2|1990.4.a|2011-09-13|HA|4|EPI_ISL_99174","New York","2011-09-13"
"A/swine/Ohio/A01203186/2012|A_/_H3N2|unassigned|2012-01-24|HA|4|EPI_ISL_124294","1990.4.a","A/swine/Ohio/A01203186/2012|A_/_H3N2|1990.4.a|2012-01-24|HA|4|EPI_ISL_124294","Ohio","2012-01-24"
"A/swine/Illinois/A00857304b/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117563","1990.4.a","A/swine/Illinois/A00857304b/2012|A_/_H3N2|1990.4.a|2012-01-05|HA|4|EPI_ISL_117563","Illinois","2012-01-05"
"A/swine/Illinois/A00857304a/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117562","unassigned","A/swine/Illinois/A00857304a/2012|A_/_H3N2|unassigned|2012-01-05|HA|4|EPI_ISL_117562","Illinois","2012-01-05"
"A/swine/Iowa/A01202640/2011|A_/_H3N2|unassigned|2011-09-30|HA|4|EPI_ISL_102523","1990.4.a","A/swine/Iowa/A01202640/2011|A_/_H3N2|1990.4.a|2011-09-30|HA|4|EPI_ISL_102523","Iowa","2011-09-30"
