sequence_name,clade
"Influenza A virus (A/swine/Illinois/21TOSU2166/2021(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA|Sus scrofa scrofa|2021-06-25|OP871006.1",1990.4.a
A/swine/Indiana/25TOSU1632/2025|A_/_H3N2|unassigned|2025-06-19|HA|4||EPI_ISL_20191106,2010.1
A/swine/Nebraska/ISU-A02861613/2023|A_/_H3N2|unassigned|2023-07-17|HA|4||EPI_ISL_18228671,1990.4.i
A/swine/North_Carolina/A02034471/2015|A_/_H3N2|unassigned|2015-07-17|HA|4||EPI_ISL_197212,1990.4.a
A/swine/Illinois/A01047529/2010|A_/_H3N2|unassigned|2010-12-02|HA|4||EPI_ISL_109877,1990.4
"Influenza A virus (A/swine/Iowa/A02221513/2017(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2017-09-05|MG279530.1",2010.1
A/swine/Illinois/A01409611/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_155796,1990.4.a
"Influenza A virus (A/swine/Michigan/A02427889/2018(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Michigan|Sus scrofa|2018-12-21|MK405249.1",2010.1
A/swine/Iowa/A01049160/2010|A_/_H3N2|unassigned|2010-11-30|HA|4||EPI_ISL_90366,1990.4
A/swine/North_Carolina/A01785295_/2017|A_/_H3N2|unassigned|2017-09-13|HA|4||EPI_ISL_283424,2010.1
A/swine/Nebraska/A01672826/2017|A_/_H3N2|unassigned|2017-02-01|HA|4||EPI_ISL_258615,1990.4.a
"Influenza A virus (A/swine/Iowa/A01476008/2014(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2014-06-24|KM245299.1",1990.4
A/swine/Ohio/24-10747-3/2024|A_/_H3N2|unassigned|2024-04-19|HA|4||EPI_ISL_20187771,2010.1
A/swine/Minnesota/A01201895/2011|A_/_H3N2|unassigned|2011-07-05|HA|4||EPI_ISL_124322,1990.4.d
A/swine/California/A02862286/2024|A_/_H3N2|unassigned|2024-02-07|HA|4||EPI_ISL_18988774,2010.1
"Influenza A virus (A/swine/Iowa/A02862279/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2024-02-06|PP467078.1",2010.1
A/swine/Missouri/A02858570/2025|A_/_H3N2|unassigned|2025-04-24|HA|4||EPI_ISL_19885016,2010.1
A/swine/Minnesota/A01409771/2014|A_/_H3N2|unassigned|2014-01-01|HA|4||EPI_ISL_157205,1990.4.b1
A/swine/Utah/A02861636/2023|A_/_H3N2|unassigned|2023-07-06|HA|4||EPI_ISL_18211464,2010.1
A/swine/Minnesota/A02245197/2019|A_/_H3N2|unassigned|2019-07-10|HA|4||EPI_ISL_381539,2010.1
A/swine/Minnesota/A01432932/2013|A_/_H3N2|unassigned|2013-08-01|HA|4||EPI_ISL_145689,1990.4.b1
A/swine/Illinois/A01047183/2010|A_/_H3N2|unassigned|2010-11-30|HA|4||EPI_ISL_103955,1990.4
A/swine/Nebraska/4B-1113-P15/2013|A_/_H3N2|unassigned|2013-01-01|HA|4||EPI_ISL_16701536,1990.4.a
A/swine/Minnesota/A01379746/2013|A_/_H3N2|unassigned|2013-04-15|HA|4||EPI_ISL_142302,1990.4.b1
A/swine/Iowa/A01857687/2015|A_/_H3N2|unassigned|2015-09-30|HA|4||EPI_ISL_203196,1990.4.a
A/swine/Iowa/A02751516/2023|A_/_H3N2|unassigned|2023-01-23|HA|4||EPI_ISL_17185776,2010.1
A/swine/Iowa/20TOSU2310/2020|A_/_H3N2|unassigned|2020-07-10|HA|4||EPI_ISL_14224263,1990.4.a
A/swine/Missouri/A02200041/2018|A_/_H3N2|unassigned|2018-01-25|HA|4||EPI_ISL_301918,2010.1
A/swine/Illinois/A01489873/2014|A_/_H3N2|unassigned|2014-11-06|HA|4||EPI_ISL_177599,1990.4.a
A/swine/Ohio/A02751314/2022|A_/_H3N2|unassigned|2022-11-30|HA|4||EPI_ISL_16840847,2010.1
"Influenza A virus (A/swine/Iowa/A02478793/2019(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds |Alphainfluenzavirus influenzae|H3N2|USA: Iowa|Sus scrofa|2019-10-23|MN732771.1",1990.4.a
A/swine/Missouri/A01782798/2016|A_/_H3N1|unassigned|2016-10-28|HA|4||EPI_ISL_245327,2010.1
A/swine/Kentucky/25TOSU2353/2025|A_/_H3N3|unassigned|2025-07-01|HA|4||EPI_ISL_20191256,2010.1
A/swine/Ohio/A01280883/2013|A_/_H3N2|unassigned|2013-02-15|HA|4||EPI_ISL_138854,1990.4.a
A/swine/Iowa/A02158357/2018|A_/_H3N2|unassigned|2018-04-30|HA|4||EPI_ISL_328867,2010.1
A/swine/Texas/A02701692/2021|A_/_H3N2|unassigned|2021-11-24|HA|4||EPI_ISL_14770022,2010.1
A/swine/Iowa/A01480817/2014|A_/_H3N2|unassigned|2014-04-02|HA|4||EPI_ISL_162047,1990.4.a
A/swine/North_Carolina/A02138766/2017|A_/_H3N2|unassigned|2017-12-08|HA|4||EPI_ISL_295688,1990.4.b2
